id,rating,snippet,likes,platform,label
d2033115-006d-4a26-8565-c8fb39ce0daf,1,Sumpah lemot parah. makanya servernya di tingkatkan lagi jangan gitu gitu aja. Masa internet lancar apk youtube lancar sekali buka shoope nunggu ular melingkar lingkar lama banget n connecting lagi. Di tingkatin lagi masa kalah sama apk sebelah yang lancar lancar aja waktu di pake,92,shopee,negatif
481a06ae-5426-4e1d-a48d-e543d19acce9,2,"Spaylatter dibekukan udh hampir 2tahun, iya tau ada keterlambatan 1x tpi sisanya bayar selalu sebelum jatuh tempo dan lunas semua, gaada pinjeman juga di aplikasi lain, udh pengajuan pemulihan tpi tetep aja dibls emailnya riwayat keterlambatan. Padahal hanya 1x tpi dibekukan sampai hampir 2tahun. Orang2 dibekukan cuma 3bulan, tpi bisa aktif lagi. Gua mau liat yg dibls email oleh pihak Shopee untuk pengajuan lagi ke tim tentang spaylatter gua, bener2 di ajuin ga, klo gaada hasil gua turunin ⭐nya",46,shopee,negatif
6442353a-f2d9-456f-b9e9-186c9abdde20,3,"BUG nya sangat meresahkan, sedang buka2 aplikasi, tiba2 sering muncul video live yg buram, TIDAK JELAS,,, dan tidak bisa di exit, terpaksa hp sering di restart utk kluar dari virus bug nya.. 😡😡😡",41,shopee,netral
b52a656f-9a87-47ff-8552-f0c63cd0f5d8,4,"Suka banget belanja di shoppe,, cuman ada kurang nya di pengiriman sering ganti² bisa ke spx hemat itu yang bikin males belanja, kalo bisa pengiriman nya jangan di ubah²,,kalo bisa ke jnt express aja kalo gak jnt economy jangan ke spx hemat jauh banget saya ambil paketnya kalo pake pengiriman spx hemat, itu aja yang kurangnya selebihnya bagus semua",209,shopee,positif
a9c1ebd3-dbff-4c2c-983d-2d05c804bead,5,Aplikasi yg bermanfaat. Tolong tingkatkan dong buat notifikasi di layar depan HP (seperti notif WA) pada saat Pengantar mau kirim barang ke alamat. Agar si pemesan tahu dan memposisikan diri untuk jemput barang. TERIMA KASIH SHOPEE,242,shopee,positif
0a20032e-ec22-4762-8ed2-90212e3c5df0,1,"Kecewa banget sama pelayanan shope, terutama untuk transaksi top up e-toll Keterangan sudah berhasil tapi ga bisa di update kita chat cs malah suruh nunggu, disini kita bayar cash bukan utang kenapa pas ada kendala transaksi kaya ribet banget harus isi ini itu, padahal fitur hp sudah tersedia nfc TPI tetep ga bisa di update dri apk shope atau pun bank terkait, btw ini bukan kejadian sekali ataupun 2kali, sampe lupa mengajukan pengembalian akhir nya otomatis pesanan selesai, saldo ga masuk.",84,shopee,negatif
7a3862fe-0d31-4193-8afe-fd01298aca87,2,Seharusnya di bagian ulasan/penilaian produk dibikin filter untuk kategori ulasan terbaru jadi kita bisa tau mana produk yg beneran bagus mana yg ngga.....karena banyak review produk yg muncul paling atas itu review dari 1-2 tahun yg lalu....terus soal pilihan kurir kenapa sih ga dikasih pilihan di awal jadi kita bisa milih ekspedisi mana....soalnya SOP tiap ekspedisi beda2....ada yg satset cepet kaya shopee express ada yg lemot kaya anteraja....ini kita harus cekout dulu untuk milih ekspedisi..,14,shopee,negatif
3f9330c4-809f-43e5-bad5-1fd2c84dd55a,3,"Adanya shopee sebenarnya sangat membantu sekali perihal gratis ongkir dan voucher diskon ny. Tapi jika harga yg tertera tidak sama dgn harga pas setelah cekout jatuhnya malah menipu, gak ada diskon malah harganya normal. Dan juga sering kali kita tidak bisa menggunakan kode promo, di keterangan ""maaf kode voucher ini telah anda gunakan sebelumnya, jika anda tetap menggunakannya akun anda akan diblokir"". Itu gimana jadinya, padahal cekout sebelumnya baru cek ongkir malah muncul peringatan tsb??.",23,shopee,netral
71a769c4-66ee-4153-aa79-dc79fc4de4ff,4,Shopee emng sangat membantu sekali apa lagi harganya sangat terjangkau. Tapi sekarang kesel banget sama ekspedisinya yang sangat lama biasanya lau pakai jnt itu paling lama 7 hari sudah sampai lah ini semenjak pengiriman otomatis dari shopee paket saya udh 3 Minggu belum sampai juga hingga sekarang. Balikan lagi dong jasa kirimnya seperti dulu yang pembeli bisa pilih sendiri mau pakai jasa kirim yang mana. Lau kayak gini lama di pengiriman jadi maleskan mau belanjanya,22,shopee,positif
a7787544-d72b-4a34-8d4d-e5530bd9626a,5,"Aplikasi bermanfaat & berfungsi dgn baik. Harus bisa kontrol juga, jgn sampe kebablasan belanja & jd konsumtif dan jgn sampe kebanyakan hutang (pay later) apalagi sampe gak bisa bayar.",158,shopee,positif
