id,title,rating,snippet,likes,date,iso_date,summary
16af46c3-43cc-46c0-bad2-1aea456f89d5,M Ikbalbatubara,1,"Belanja pertama malah jadi pengalaman yg tidak mengenakkan sampai estimasi berakhir barang belum juga nongol malah pihak kurir buat bad address padahal alamat jelas semua barang yg saya pesan baik dari aplikasi Oren,biru & merah, hitam semua nya semua sampai.malah dari aplikasi ini gak jelas. Jasa kirim si cepat/ si gesit malah paling lelet dari jasa/ kurir yg lain🤦. Kompensasi dari keterlambatan pengiriman pun gak ada. Pengalaman pertama & terkhir la",65,"September 24, 2024",2024-09-24T03:52:44Z,"Beberapa masalah dengan pengiriman, bug aplikasi, diskon, dan verifikasi data di Tokopedia, namun tetap ada fitur menarik seperti diskon dan gratis ongkir."
73cea4e2-19a4-403a-899e-08ffccbc2d79,Uswatun Khasanah,2,"Sumpah, aku tau pengiriman itu bukan termasuk kesalahan seller sepenuhnya, tapi dah berkali-kali belanja disini selalu mandeg pengiriman nya sampe 2 minggu padahal udah sampai di kota tujuan. Apalagi kalo diskon nya banyak, selalu dapat pembatalan otomatis. Tolong pihak Tokopedia lebih di perbaiki lagi sistemnya",8,"September 25, 2024",2024-09-25T03:22:01Z,
16d5bb9b-bf68-403f-ba98-55a5eaaab666,Fikri Nouval Abdurrochman,3,"Sejak dibeli tiktok toped makin ribet, performa app jg turun jauh, banyak bug, aplikasi makin berat, cari produk jadi ga nyaman, scrolling ngga se smooth sebelumnya, setiap klik salah satu produk kemudian kembali ke halaman sebelumnya kudu nge refresh dari halaman atas lagi, bukan malah ngelanjutin dari halaman sebelumnya, kacau",94,"September 04, 2024",2024-09-04T20:38:14Z,
f5d1ac7e-20c1-409a-8e2b-017a0be7ad15,Jericho Anthony,4,"Diskonnya banyak, sering gratis ongkir. Saya pernah beli barang dan diskonnya hilang terpakai, menjelang beberapa hari setelah kontak customer service, diskonnya langsung kembali. Berbeda dengan toko oren di sebelah. Sayangnya, tidak tersedia kontak kurir, sehingga seringkali barang harus diantarkan kembali jika tiba saat saya sedang tidak di rumah. Tapi overall, keren Tokopedia 👍🏻",3,"September 16, 2024",2024-09-16T10:05:31Z,
07652a2f-0e1d-475a-a557-0fde5b2ed056,N. Sudiartha,5,"Suka pakai aplikasi tokopedia, hanya saja msh ada kurang dikit, karena banyaknya lapak preorder, mohon untuk bisa menambahkan menu untuk memperpanjang waktu penyelesaian pembayaran, minimal bisa diperpanjang 2x. Satu lg untuk verifikasi data pribadi yg terkendala, kl bisa di lakukan pengembalian menu untuk melakukan Verifikasi ulang kembali, jangan di ngegantung terus. Terima kasih",277,"September 18, 2024",2024-09-18T07:44:43Z,
59e0e460-5da7-4ac7-ae63-46b5bad01749,Kim Siho (ChocoComic),1,"Mau masuk aplikasi dipersulit banget, apa² harus ke email/nomor hp buat verif. Kalau pengguna hp nya sedang rusak dan ingin mencoba login di hp lain bagaimana? Juga sering bug. Saya install apl pake undangan (karena pengirim bilang ada voc gratis buat pengguna baru), tapi sampai sekarang tidak muncul VOC tersebut. Mau mengajukan permasalahan ke tokopedia care, lag nya lamaaaaa banget. Rate first Impression saya ke Tokopedia : 0/10.",105,"September 23, 2024",2024-09-23T09:27:51Z,"
Login rumit, voucher undangan tidak muncul, Tokopedia Care lambat. Kurir rekomendasi lambat dan tidak ramah. Fitur chat dipindah ke notifikasi, mengganggu efisiensi. Pengiriman sering tersasar, review sulit di-scroll dan video review bug. Pengalaman keseluruhan sangat mengecewakan."
cffdcf9f-9705-4640-9709-c34489243a0f,Firmansyah,2,"Haduh untuk kurir rekomendasi ini pick upnya lama banget, tokopedia ini bagaimana sih, padahal dulu ngga begini, tapi sekarang parah banget, kurir rekomendasi tokopedia lama pick up dan juga kurang ramah ketika barang sampai tidak ada senyum, terimakasih atau apapun itu.",27,"September 17, 2024",2024-09-17T14:01:13Z,
9672ae39-1b23-4547-ba5e-5f3b31c57f2e,Muhammad Rizky Fiqryansyah,3,"Kecewa sama pembaruan yang sekarang. Menurut saya memindahkan fitur CHAT ke dalam fitur NOTIFIKASI sangat mengurangi efisiensi dan user experiencenya, karena memakan proses yg lebih lebih panjang dibanding versi sebelumnya. Tolong kembalikan fitur CHAT ke halaman utama aplikasi.",93,"September 02, 2024",2024-09-02T00:10:27Z,
1e5ec29b-af14-4d82-9454-653b5f553dc2,Samsul Aripin,4,Ini kali ke 2 barang pengiriman dikirim hanya bolak balik malah nyasar jauh banget dari tempat pembeli Setelah kejadian ini saya merasa gak nyaman dengan kurir rekomendasi tokopedia yang seharusnya kompeten karena sudah jadi kurir rekomendasi dari tokopedia Padahal barang di keranjang saya sudah banyak buat dibeli tapi dengan kejadian seperti ini saya jadi mikir 2 kali buat belanja di tokopedia,2,"September 13, 2024",2024-09-13T06:02:37Z,
5b75d907-0652-422f-9c55-7e4fa3d4fe81,wibi9424,5,"terjadi keanehan di ulasan pembeli, saat melihat ulasan pembeli kita jadi tau apa pendapat mereka, tapi sayang nya, scroll kebawah itu sangat tidak nyaman, sehingga males untuk lihat ulasan, scrool menggunakan mouse mungkin bisa, tapi sentuhan tangan gk yakin aku. kedua saat melihat video, lihat ulasan dan putar salah satu videonya, lalu tutup buka lagi video yg lainnya maka video lainnya tidak bisa diputar, malah sebelumnya membuka foto malah suara video pertama diputar, padahal lihatnya foto",235,"September 04, 2024",2024-09-04T22:03:01Z,
